cUid,cUname,cParentArea,cArea,type,sendDate,message,price,count
533996453,王筱沫沫丶,娱乐,舞见,4,1689431327548,,,
524076304,瑞珀_ripper,虚拟主播,虚拟日常,4,1688919119058,,,
38157763,艺能人金广发,娱乐,萌宅领域,4,1686973561355,,,
248305128,两面桢,娱乐,舞见,4,1685892833297,,,
533996453,王筱沫沫丶,娱乐,舞见,4,1685547482231,,,
2041058727,阿怡吖咿哟,娱乐,视频唱见,4,1685290644110,,,
1210635994,吴尽意,娱乐,舞见,4,1685288304301,,,
248305128,两面桢,娱乐,舞见,4,1685288450418,,,
15251488,比熊比熊小,娱乐,舞见,4,1684598668302,,,
259808339,soulofthemake,网游,英雄联盟,4,1684512742029,,,
15251488,比熊比熊小,娱乐,舞见,4,1684076675897,,,
1210635994,吴尽意,娱乐,舞见,4,1684006281773,,,
15251488,比熊比熊小,娱乐,舞见,4,1683995477167,,,
15251488,比熊比熊小,娱乐,舞见,4,1683996360496,,,
533996453,王筱沫沫丶,娱乐,舞见,4,1683820576267,,,
533996453,王筱沫沫丶,娱乐,舞见,4,1683737247878,,,
1323218982,芋圆有点甜-,娱乐,舞见,4,1680971317444,,,
248305128,两面桢,娱乐,舞见,4,1680878380414,,,
588049766,Redmi红米手机,知识,科技,4,1679933656975,,,
533996453,王筱沫沫丶,娱乐,舞见,4,1679494492836,,,
15251488,比熊比熊小,娱乐,舞见,4,1679410406031,,,
2379178,艾森巴赫,单机游戏,主机游戏,4,1678448402743,,,
3477287,沙雕老国王小白,单机游戏,使命召唤19,4,1677165281973,,,
373782549,伊利齁甜,电台,聊天电台,4,1676990057169,,,
5154669,VincentEDGE,单机游戏,鬼泣5,4,1676041739752,,,
533996453,王筱沫沫丶,娱乐,舞见,4,1676042077299,,,
533996453,王筱沫沫丶,娱乐,舞见,4,1675527294154,,,
45919639,Sunny水水水,娱乐,视频聊天,4,1674572270319,,,
3461572997417576,范真学姐,娱乐,舞见,4,1674537516766,,,
73415842,香老师123,娱乐,视频聊天,4,1674224504705,,,
5154669,VincentEDGE,单机游戏,鬼泣5,4,1674048206471,,,
26177922,小须须_Arcana,娱乐,舞见,4,1673970722614,,,
46356715,安吉呀呀,娱乐,视频聊天,4,1673944977012,,,
33382112,苏丽珂suliko,娱乐,视频聊天,4,1673921741097,,,
15251488,比熊比熊小,娱乐,舞见,4,1673618693488,,,
248305128,两面桢,娱乐,舞见,4,1673619681588,,,
15251488,比熊比熊小,娱乐,舞见,4,1673535190518,,,
3461576277362773,年年今天e了吗,娱乐,视频聊天,4,1673453845006,,,
2118882498,-情绾-,虚拟主播,虚拟主播,4,1672724007351,,,
43536,黑桐谷歌,单机游戏,主机游戏,4,1672240637508,,,
248305128,两面桢,娱乐,舞见,4,1671633762331,,,
1593304774,月山泉,网游,英雄联盟,4,1671587473163,,,
629814419,哒叽luna,虚拟主播,虚拟主播,4,1671587632872,,,
574317507,香取绮罗_kira,虚拟主播,虚拟主播,4,1671546225484,,,
1971422680,英雄联盟手游电竞,赛事,游戏赛事,4,1671181845584,,,
440664748,马野好饿,生活,美食,4,1667882918508,,,
1971422680,英雄联盟手游电竞,赛事,游戏赛事,4,1667740523183,,,
102359102,xxxYSXxxx,网游,英雄联盟,4,1666807814197,,,
1971422680,英雄联盟手游电竞,赛事,游戏赛事,4,1666795891842,,,
102359102,xxxYSXxxx,单机游戏,主机游戏,4,1665761552569,,,
15251488,比熊比熊小,娱乐,舞见,4,1665072813885,,,
2011822166,爱迟到的张锦锦,娱乐,萌宅领域,4,1664586570076,,,
73415842,香老师123,娱乐,视频聊天,4,1664436530222,,,
3904677,雨乃哟,娱乐,舞见,4,1664316553673,,,
1483798834,泡芙f-u,娱乐,视频聊天,4,1664035283380,,,
1905436668,福羊二代,娱乐,视频聊天,4,1663565522984,,,
1905436668,福羊二代,娱乐,视频聊天,4,1663046829873,,,
1063646318,八津儿,娱乐,舞见,4,1662779999310,,,
43536,黑桐谷歌,,,4,1662212726442,,,
543319898,娜露NARU,,,4,1661308863859,,,
11616487,绝不早到小吱吱,,,4,1661105419873,,,
26177922,小须须_Arcana,,,4,1658941678253,,,
26177922,小须须_Arcana,,,4,1656686027414,,,
632960,切茜娅CheIsea,,,4,1656501085694,,,
